угол: 0; радиус: 48
угол: 229; радиус: 81,5659242576212
угол: 230; радиус: 80,9197132965756
угол: 231; радиус: 81,0555365166378
угол: 232; радиус: 79,8122797569397
угол: 233; радиус: 79,2022726946645
угол: 234; радиус: 77,4209274033836
угол: 235; радиус: 76,8439978137525
угол: 236; радиус: 75,7165767847438
угол: 237; радиус: 75,1664818918645
угол: 238; радиус: 74,6257328272225
угол: 239; радиус: 74,4311762637136
угол: 240; радиус: 73,9256383131049
угол: 241; радиус: 72,9451848993475
угол: 242; радиус: 72,4706837279738
угол: 243; радиус: 71,5541752799933
угол: 244; радиус: 71,1125867902441
угол: 245; радиус: 70,6823881882892
угол: 246; радиус: 69,8569967862919
угол: 247; радиус: 70,3846574190711
угол: 248; радиус: 70,0071424927486
угол: 249; радиус: 69,6419413859206
угол: 250; радиус: 69,28924880528
угол: 251; радиус: 68,6221538571911
угол: 252; радиус: 68,3081254317523
угол: 253; радиус: 68,0073525436772
угол: 254; радиус: 67,7200118133481
угол: 255; радиус: 67,446274915669
угол: 256; радиус: 66,9402718847182
угол: 257; радиус: 66,7083203206317
угол: 258; радиус: 67,468511173732
угол: 259; радиус: 67,2681202353686
угол: 260; радиус: 67,0820393249937
угол: 261; радиус: 66,7532770731145
угол: 262; радиус: 66,6108099335236
угол: 263; радиус: 66,4830805543786
угол: 264; радиус: 66,3701740241805
угол: 265; радиус: 66,2721661031236
угол: 266; радиус: 66,1891229734916
угол: 267; радиус: 66,0681466366357
угол: 268; радиус: 67,0298440994756
угол: 269; радиус: 67,0074622710038
угол: 270; радиус: 67
угол: 271; радиус: 67,0074622710038
угол: 272; радиус: 67,0298440994756
угол: 273; радиус: 67,1192967781993
угол: 274; радиус: 67,1863081289633
угол: 275; радиус: 67,2681202353686
угол: 276; радиус: 67,3646791723972
угол: 277; радиус: 67,4759216313494
угол: 278; радиус: 67,7421582177598
угол: 279; радиус: 68,8839603971781
угол: 280; радиус: 69,0507060065283
угол: 281; радиус: 69,2314957226839
угол: 282; радиус: 69,6347614342147
угол: 283; радиус: 69,8569967862919
угол: 284; радиус: 70,0927956355002
угол: 285; радиус: 70,3420215802759
угол: 286; радиус: 70,8801805866774
угол: 287; радиус: 71,1688133946323
угол: 288; радиус: 72,7323861838727
угол: 289; радиус: 73,0547739713155
угол: 290; радиус: 73,3893725276351
угол: 291; радиус: 73,7360156233031
угол: 292; радиус: 74,4647567645259
угол: 293; радиус: 74,8465096046569
угол: 294; радиус: 75,6439025963098
угол: 295; радиус: 76,0591874792257
угол: 296; радиус: 76,4852927038918
угол: 297; радиус: 78,7146746166177
угол: 298; радиус: 79,1770168672703
угол: 299; радиус: 80,1311425102625
угол: 300; радиус: 80,6225774829855
угол: 301; радиус: 81,6333265278342
угол: 302; радиус: 82,1522975941635
угол: 303; радиус: 83,7615663654877
угол: 304; радиус: 85,7029754442633
угол: 305; радиус: 86,8389313614579
угол: 306; радиус: 88,0056816347672
угол: 307; радиус: 89,2020179143947
угол: 308; радиус: 90,4267659490264
угол: 309; радиус: 91,6787870774914
угол: 310; радиус: 94,3663075467086
угол: 311; радиус: 95,6713123146118
угол: 312; радиус: 97
угол: 313; радиус: 99,0353472251196
угол: 314; радиус: 100,419121685066
угол: 315; радиус: 103,237590053236
угол: 316; радиус: 105,380263806844
угол: 317; радиус: 106,831643252362
угол: 318; радиус: 107,62899237659
угол: 319; радиус: 107,056060080689
угол: 320; радиус: 104,995237987254
угол: 321; радиус: 98,8584847142621
угол: 322; радиус: 98,2344135219425
угол: 323; радиус: 92,200867674876
угол: 324; радиус: 90,2108640907513
угол: 325; радиус: 88,2326470191165
угол: 326; радиус: 84,3148859929254
угол: 327; радиус: 82,3771813064759
угол: 328; радиус: 79,9249648107523
угол: 329; радиус: 79,4040301244213
угол: 330; радиус: 77,5241897732572
